[0.146016, 0.146249, 0.144648, 0.142749, 0.142074, 0.143272, 0.145547, 0.146556]
[0.146635, 0.146928, 0.145325, 0.143376, 0.142653, 0.14384, 0.146169, 0.147239]
[0.146973, 0.147461, 0.145883, 0.143779, 0.142822, 0.143966, 0.146468, 0.147758]
[0.147848, 0.148323, 0.146736, 0.144642, 0.143691, 0.144838, 0.147319, 0.148602]
[0.148758, 0.149224, 0.147645, 0.145553, 0.144611, 0.145746, 0.148215, 0.149492]
[0.149457, 0.149982, 0.148399, 0.146258, 0.145268, 0.146384, 0.148905, 0.150229]
[0.150125, 0.150705, 0.149145, 0.146955, 0.145906, 0.14701, 0.149558, 0.150944]
[0.150777, 0.151398, 0.149838, 0.147609, 0.146506, 0.147613, 0.150186, 0.151627]
[0.151403, 0.152046, 0.150459, 0.148211, 0.147098, 0.148203, 0.150822, 0.152287]
[0.1523, 0.1529, 0.151298, 0.149074, 0.14799, 0.149121, 0.151719, 0.15314]
[0.153119, 0.153687, 0.152093, 0.149883, 0.148826, 0.149957, 0.15254, 0.153929]
[0.154016, 0.154503, 0.152885, 0.150737, 0.149763, 0.150932, 0.153475, 0.154772]
[0.154831, 0.155282, 0.153647, 0.151525, 0.150582, 0.151775, 0.154291, 0.155554]
[0.155817, 0.156191, 0.154552, 0.152495, 0.151624, 0.152825, 0.155295, 0.156483]
[0.156755, 0.157071, 0.155435, 0.153419, 0.152599, 0.153808, 0.15624, 0.157365]
[0.157668, 0.157937, 0.156299, 0.154308, 0.153544, 0.154793, 0.157176, 0.158243]
[0.158501, 0.15873, 0.157071, 0.155083, 0.154342, 0.155616, 0.158013, 0.159051]
[0.159131, 0.15945, 0.157806, 0.155771, 0.154947, 0.156188, 0.158635, 0.159757]
[0.159756, 0.160137, 0.158497, 0.156403, 0.155517, 0.156737, 0.159225, 0.160431]
[0.160544, 0.160958, 0.15933, 0.157225, 0.15629, 0.157493, 0.159999, 0.161229]
[0.160995, 0.161482, 0.159848, 0.157669, 0.156683, 0.157857, 0.160425, 0.161749]
[0.161408, 0.161996, 0.160396, 0.158147, 0.157048, 0.158171, 0.160805, 0.162243]
